DATE,MKTGDPFRA646NWDB
1960-01-01,62225478000.8822
1961-01-01,67461644222.0352
1962-01-01,75607529809.9288
1963-01-01,84759195105.8693
1964-01-01,94007851047.3678
1965-01-01,101537248148.427
1966-01-01,110045852177.928
1967-01-01,118972977486.207
1968-01-01,129785441507.456
1969-01-01,141903068680.309
1970-01-01,148456359985.827
1971-01-01,165966615366.402
1972-01-01,203494148244.473
1973-01-01,264429876252.21
1974-01-01,285552373158.756
1975-01-01,360832186018.051
1976-01-01,372319038514.067
1977-01-01,410279486493.715
1978-01-01,506707848837.209
1979-01-01,613953129818.07
1980-01-01,701288419745.421
1981-01-01,615552202776.101
1982-01-01,584877732308.614
1983-01-01,559869179791.72
1984-01-01,530683779929.445
1985-01-01,553138414367.061
1986-01-01,771470783218.108
1987-01-01,934173305685.911
1988-01-01,1018847043277.17
1989-01-01,1025211803413.53
1990-01-01,1269179616913.63
1991-01-01,1269276828275.78
1992-01-01,1401465923172.24
1993-01-01,1322815612694.0
1994-01-01,1393982750472.59
1995-01-01,1601094756209.75
1996-01-01,1605675086549.56
1997-01-01,1452884917959.09
1998-01-01,1503108739159.44
1999-01-01,1492647560196.04
2000-01-01,1362248940482.77
2001-01-01,1376465324384.79
2002-01-01,1494286655373.61
2003-01-01,1840480812641.08
2004-01-01,2115742488204.62
2005-01-01,2196126103718.44
2006-01-01,2318593651988.46
2007-01-01,2657213249384.07
2008-01-01,2918382891460.38
2009-01-01,2690222283967.77
2010-01-01,2642609548930.36
2011-01-01,2861408170264.61
2012-01-01,2683825225092.63
2013-01-01,2811077725703.59
2014-01-01,2852165760630.27
2015-01-01,2438207896251.84
2016-01-01,2471285607081.72
2017-01-01,2595151045197.65
2018-01-01,2787863958885.49
2019-01-01,2715518274227.45
2020-01-01,2551451000000.00