DATE,MKTGDPDEA646NWDB
1970-01-01,215838448404.852
1971-01-01,249985055651.592
1972-01-01,299801542231.491
1973-01-01,398374022246.615
1974-01-01,445303484014.814
1975-01-01,490636517529.215
1976-01-01,519754453161.411
1977-01-01,600498238103.26
1978-01-01,740469983154.82
1979-01-01,881345176395.262
1980-01-01,950290856574.134
1981-01-01,800472055214.193
1982-01-01,776576439268.155
1983-01-01,770684323247.798
1984-01-01,725111123771.562
1985-01-01,732534886726.016
1986-01-01,1046259375123.84
1987-01-01,1298176105440.7
1988-01-01,1401233225526.23
1989-01-01,1398967436284.2
1990-01-01,1771671207359.88
1991-01-01,1868945197407.19
1992-01-01,2131571696931.75
1993-01-01,2071323790370.28
1994-01-01,2205074123177.05
1995-01-01,2585792275146.72
1996-01-01,2497244606186.64
1997-01-01,2211989623279.95
1998-01-01,2238990774702.68
1999-01-01,2194204133816.32
2000-01-01,1943145384190.16
2001-01-01,1944107382550.34
2002-01-01,2068624129493.69
2003-01-01,2496128668171.56
2004-01-01,2809187981127.39
2005-01-01,2845802760850.64
2006-01-01,2992196713084.93
2007-01-01,3421229126745.14
2008-01-01,3730027830672.33
2009-01-01,3397791053070.3
2010-01-01,3396354075663.73
2011-01-01,3744408602683.94
2012-01-01,3527344944139.83
2013-01-01,3732743446218.92
2014-01-01,3883920155292.26
2015-01-01,3360549973888.58
2016-01-01,3466790065011.83
2017-01-01,3665804120835.3
2018-01-01,3949548833952.94
2019-01-01,3845630030823.52
2020-01-01,3780553000000.00