DATE,MKTGDPINA646NWDB
1960-01-01,37029883875.4573
1961-01-01,39232435784.0946
1962-01-01,42161481858.7014
1963-01-01,48421923458.7413
1964-01-01,56480289940.8261
1965-01-01,59554854574.7942
1966-01-01,45865462033.91
1967-01-01,50134942203.4467
1968-01-01,53085455870.8227
1969-01-01,58447995016.8493
1970-01-01,62422483054.5173
1971-01-01,67350988020.9041
1972-01-01,71463193830.4064
1973-01-01,85515269585.5221
1974-01-01,99525899115.7756
1975-01-01,98472796457.114
1976-01-01,102717164465.894
1977-01-01,121487322474.298
1978-01-01,137300295308.038
1979-01-01,152991653792.864
1980-01-01,186325345089.754
1981-01-01,193490610032.1
1982-01-01,200715145360.918
1983-01-01,218262273410.099
1984-01-01,212158234164.06
1985-01-01,232511877842.041
1986-01-01,248985994044.2
1987-01-01,279033584092.159
1988-01-01,296588994812.059
1989-01-01,296042354986.126
1990-01-01,320979026419.633
1991-01-01,270105341879.226
1992-01-01,288208430383.964
1993-01-01,279296022987.919
1994-01-01,327275583539.559
1995-01-01,360281952716.797
1996-01-01,392897054348.071
1997-01-01,415867753863.874
1998-01-01,421351477504.743
1999-01-01,458820417337.807
2000-01-01,468394937262.37
2001-01-01,485441014538.638
2002-01-01,514937948870.08
2003-01-01,607699285433.872
2004-01-01,709148514804.66
2005-01-01,820381595512.902
2006-01-01,940259888792.141
2007-01-01,1216735441524.86
2008-01-01,1198895582137.51
2009-01-01,1341886602798.69
2010-01-01,1675615335600.56
2011-01-01,1823050405350.42
2012-01-01,1827637859135.7
2013-01-01,1856722121394.53
2014-01-01,2039127446298.55
2015-01-01,2103587817041.78
2016-01-01,2294797978291.98
2017-01-01,2652754685834.59
2018-01-01,2713165057513.35
2019-01-01,2875142314811.85
2020-01-01,2592583000000.00