DATE,MKTGDPJPA646NWDB
1960-01-01,44307342950.4
1961-01-01,53508617739.3778
1962-01-01,60723018683.7333
1963-01-01,69498131797.3333
1964-01-01,81749006381.5111
1965-01-01,90950278257.7778
1966-01-01,105628070343.111
1967-01-01,123781880217.6
1968-01-01,146601072685.511
1969-01-01,172204199480.889
1970-01-01,212609187920.833
1971-01-01,240151807459.955
1972-01-01,318031297492.682
1973-01-01,432082670451.087
1974-01-01,479625998614.775
1975-01-01,521541905671.903
1976-01-01,586161859001.02
1977-01-01,721411786537.187
1978-01-01,1013612173519.79
1979-01-01,1055012119528.16
1980-01-01,1105385973763.87
1981-01-01,1218988935129.81
1982-01-01,1134518001884.56
1983-01-01,1243323592058.83
1984-01-01,1318381627003.76
1985-01-01,1398892744820.69
1986-01-01,2078953333673.55
1987-01-01,2532808573157.03
1988-01-01,3071683013178.91
1989-01-01,3054914166263.18
1990-01-01,3132817652848.04
1991-01-01,3584420077100.84
1992-01-01,3908809463463.86
1993-01-01,4454143876947.21
1994-01-01,4907039384469.68
1995-01-01,5449116304981.1
1996-01-01,4833712542207.1
1997-01-01,4414732843544.43
1998-01-01,4032509760872.94
1999-01-01,4562078822335.45
2000-01-01,4887519660744.86
2001-01-01,4303544259842.72
2002-01-01,4115116279069.77
2003-01-01,4445658071221.86
2004-01-01,4815148854362.11
2005-01-01,4755410630912.14
2006-01-01,4530377224970.4
2007-01-01,4515264514430.57
2008-01-01,5037908465114.48
2009-01-01,5231382674593.7
2010-01-01,5700098114744.41
2011-01-01,6157459594823.72
2012-01-01,6203213121334.12
2013-01-01,5155717056270.83
2014-01-01,4850413536037.84
2015-01-01,4389475622588.97
2016-01-01,4922538141454.62
2017-01-01,4866864409657.68
2018-01-01,4954806619995.19
2019-01-01,5081769542379.77
2020-01-01,4910580000000.00